Easting (m)	Northing (m)	Ground Surface (relative to TBM)	Bottom of Gravel Layer Depth (below ground surface)	Height (m)  (relative to TBM)	Height (m) AOD	Point	Feature							
416022.2	92822.5	-0.81					"-1.89,15m"							
416023.3	92822.8	-0.13					"-1.60,16m"							
416023.2	92823.0	-0.81					"-1.90,16m"							
416024.2	92823.1	-0.25					-1.64.17m							
416024.9	92823.6	-0.22					"-1.60,18m"							
416025.8	92824.1	-0.29					"-1.64,19m"							
416028.1	92821.9	-0.03					"+1.2,20m"							
416026.6	92824.6	-0.27					"-1.68,20m"							
416026.4	92825.0	-0.82					"-2.1,20m"							
416028.9	92822.5	-0.01					"+1.2,21m"							
416027.5	92825.0	-0.16					"-1.48,21m"							
416027.4	92825.2	-0.88					"-1.84,21m"							
416028.5	92825.5	-0.25					"-1.54,22m"							
416028.3	92825.8	-0.89					"-1.80,22m"							
416029.3	92826.0	-0.19					"-1.50,23m"							
416029.2	92826.2	-0.95					"-1.76,23m"							
416030.2	92826.5	-0.17					-1.60.24m							
416030.0	92826.7	-1.01					"-1.80,24m"							
